,text,created_date,latitude,longitude,retweet,polarity
79,RT @BJP4India: Your one vote will decide if our daughters will make our country proud or will have to put up with the tyranny of the goons.…,2019-04-24 14:24:58,,,24,Highly Positive
80,"RT @Nehr_who: BJP candidates Speech:

RS katheria: Will cut fingers raised on us

Satpal Singh: Will chop off arms raised on Modi

Manoj Si…",2019-04-24 14:24:57,,,54,Neutral
81,IIT-Bombay Draws Criticism for Calling People Who Vote for BJP ‘Stupid’ on Twitter https://t.co/MBceDmQUwZ https://t.co/LSRqT5N4lZ,2019-04-24 14:24:56,,,0,Highly Negative
82,"RT @ilavenil_: Sunny joins BJP

Expectation vs Reality https://t.co/MxOcsQMpbb",2019-04-24 14:24:55,,,4,Neutral
83,RT @Being_Humor: Anil Kapoor more openly supporting BJP after Javed Habib joined BJP https://t.co/lYwtNCxJVp,2019-04-24 14:24:55,,,108,Positive
84,"RT @raghav_chadha: I will be moving the Delhi High Court against wrongful acceptance of nomination papers of BJP's South Delhi Candidate, R…",2019-04-24 14:24:55,,,48,Positive
85,"RT @CTRavi_BJP: If Nationalist @mvmeet can send shivers to CONgress and JD (S), one can only imagine what kind of nightmare PM Narendra Mod…",2019-04-24 14:24:54,,,168,Positive
86,RT @rvaidya2000: Crazy TN chnnls:In adjacent SL Islamist Jihadis bombed at killed 350 +ppl in Churches and hotels--These breaking India for…,2019-04-24 14:24:54,,,189,Negative
87,"RT @NH_India: #MaharashtraNavnirmanSena President #RajThackeray on Tuesday claimed there is ""no wave now like 2014"" for #PMModi and the Bha…",2019-04-24 14:24:53,,,99,Neutral
88,"RT @AnupamConnects: Police complaint lodged against BJP IT cell chief and a portal named 'Frustrated Indian' at the office of DCP Crime, Ka…",2019-04-24 14:24:52,,,753,Highly Negative
89,"RT @ShashiTharoor: As we enter the last phases of this election, it is time to recall again @pbmehta's dire warning: ""the BJP stand for eve…",2019-04-24 14:24:49,,,143,Neutral
90,RT @TimesNow: UPDATE: BJP clarifies saying there's no press conference scheduled for 26 April of PM @narendramodi https://t.co/x1VJvRyhDF,2019-04-24 14:24:49,,,45,Neutral
91,"RT @OpIndia_com: Congress leader Ajay Singh calls BJP MP Riti Pathak “Maal”
https://t.co/vWTeEyscDU",2019-04-24 14:24:49,,,71,Neutral
92,"RT @sohinigr: Effect of Javed Habib joining the BJP - too cool!

(Received via WA) https://t.co/sNfPXeUj1C",2019-04-24 14:24:47,,,22,Positive
93,RT @virsanghvi: My piece:At a personal level I feel sorry for LK Advani but never forget that without Advani there would be no Modi. It was…,2019-04-24 14:24:46,,,163,Negative
94,"RT @narendramodi: Didi will again be angry today, seeing the immense support for BJP in West Bengal. Watch from Bolpur. https://t.co/fUrfsh…",2019-04-24 14:24:45,,,4061,Negative
95,RT @akashbanerjee: .... basically the entire BJP election strategy for 2019. https://t.co/345d9SP5Qz,2019-04-24 14:24:43,,,926,Neutral
96,"RT @narendramodi: Didi will again be angry today, seeing the immense support for BJP in West Bengal. Watch from Bolpur. https://t.co/fUrfsh…",2019-04-24 14:24:42,,,4061,Negative
97,RT @arunjaitley: Excellent example of teamwork in our government ⁦@narendramodi⁩ ⁦@SushmaSwaraj⁩ https://t.co/9kHTOBPX6x,2019-04-24 14:24:42,,,1527,Highly Positive
98,"RT @raghav_chadha: I will be moving the Delhi High Court against wrongful acceptance of nomination papers of BJP's South Delhi Candidate, R…",2019-04-24 14:24:39,,,48,Positive
99,RT @NH_India: #RJD leader Tejashwi Yadav reacted strongly against Union Minister and #BJP leader Giriraj Singh for saying the #ElectionComm…,2019-04-24 14:24:39,,,18,Positive
100,"RT @raghav_chadha: I will be moving the Delhi High Court against wrongful acceptance of nomination papers of BJP's South Delhi Candidate, R…",2019-04-24 14:24:38,,,48,Positive
101,"@narendramodi But sir, ECI nd central forces hv 2 be more vigilant, bold nd active to prevent rampant violence of e… https://t.co/Zia6yCa0xT",2019-04-24 14:24:38,,,0,Positive
102,"@INCTharoorian @RahulGandhi BJP
Wants to
See
Farmers dead https://t.co/LM1NkVKxhF",2019-04-24 14:24:38,,,0,Neutral
103,"RT @BJP4India: Bengal has been pushed to such a depressing situation where Didi has 'Mamata' for goons &amp; 'Nirmamata' for the people.

TMC t…",2019-04-24 14:24:35,,,132,Negative
104,"RT @CTRavi_BJP: If Nationalist @mvmeet can send shivers to CONgress and JD (S), one can only imagine what kind of nightmare PM Narendra Mod…",2019-04-24 14:24:34,,,168,Positive
105,@Divya_S_Rathore @vel_jaya @pbhushan1 Self proclaimed champion of righteousness &amp; values like u today r eulogising… https://t.co/3gWmKK7XkI,2019-04-24 14:24:33,,,0,Neutral
106,RT @thekochipost: Congress back in the fight in BJP strongholds in MP @indscribe reports https://t.co/PUiGN6MqXe,2019-04-24 14:24:33,,,1,Neutral
107,RT @ghanshyam_rg: BJP Leaders Get 'Trendy Hairstyles' After Jawed Habib Joins the Party #BharatKaGarvModi https://t.co/Bvm7uSp6MC,2019-04-24 14:24:32,,,10,Highly Positive
108,RT @free_thinker: BJP has denied reports that the PM has suddenly summoned the courage to address a Press Conference. https://t.co/diq5imQU…,2019-04-24 14:24:30,,,178,Neutral
109,RT @BJP4India: Your one vote will decide if our daughters will make our country proud or will have to put up with the tyranny of the goons.…,2019-04-24 14:24:30,,,24,Highly Positive
110,"RT @BJP4India: No one can imagine such a huge rally of BJP in West Bengal.

After few phases of elections, Didi has lost the 'little hope'…",2019-04-24 14:24:30,,,192,Positive
111,"RT @narendramodi: Didi will again be angry today, seeing the immense support for BJP in West Bengal. Watch from Bolpur. https://t.co/fUrfsh…",2019-04-24 14:24:29,,,4061,Negative
112,RT @majorgauravarya: Accusing ⁦@crpfindia⁩ of asking people to vote for BJP is something that I never expected even ⁦@MamataOfficial⁩ to co…,2019-04-24 14:24:28,,,2385,Positive
113,@_Kongu_ @SaffronDalit @vsab49 @BJPTHONDAN @mosquitomani @arvinth_e @tenvenkat @gajamani He is right for KA. He has… https://t.co/kmMPF56Cup,2019-04-24 14:24:28,,,0,Positive
114,"RT @srivatsayb: ""BJP is denying vocal Dalit members like Udit Raj tickets because they just won’t fall in line""

This is absolutely true. B…",2019-04-24 14:24:26,,,37,Positive
115,RT @abpnewstv: My view about Narendra Modi has changed because his personality completely changed after becoming PM. Modi has nothing to sa…,2019-04-24 14:24:26,,,74,Positive
116,"RT @DeshGujarat: Record break 64.11% turnout in Lok Sabha elections 2019 in Gujarat, highest ever in state, even more than 2014 'wave elect…",2019-04-24 14:24:25,,,32,Highly Positive
117,RT @akashbanerjee: .... basically the entire BJP election strategy for 2019. https://t.co/345d9SP5Qz,2019-04-24 14:24:25,,,926,Neutral
118,Also I hate bjp with passion no one can make me believe that modi wasn't behind the gujarati riots in 2002,2019-04-24 14:24:25,,,0,Highly Negative
119,"RT @narendramodi: Didi will again be angry today, seeing the immense support for BJP in West Bengal. Watch from Bolpur. https://t.co/fUrfsh…",2019-04-24 14:24:24,,,4061,Negative
120,"RT @Nehr_who: BJP candidates Speech:

RS katheria: Will cut fingers raised on us

Satpal Singh: Will chop off arms raised on Modi

Manoj Si…",2019-04-24 14:24:23,,,54,Neutral
121,RT @BJP4India: Your one vote will decide if our daughters will make our country proud or will have to put up with the tyranny of the goons.…,2019-04-24 14:24:21,,,24,Highly Positive
122,RT @BJP4India: Your one vote will decide if our daughters will make our country proud or will have to put up with the tyranny of the goons.…,2019-04-24 14:24:19,,,24,Highly Positive
123,"RT @BJP4JnK: #BharatKaGarvModi

PDP leaders of Nobra Valley Ladakh joining BJP in presence of Senior Party leader and All Morchas incharge…",2019-04-24 14:24:19,,,45,Neutral
124,RT @republic: #ShahSpeaksToArnab | Stay tuned to Republic TV for an unmissable interview of @AmitShah as the BJP chief speaks to Arnab in V…,2019-04-24 14:24:19,,,5,Neutral
125,"RT @narendramodi: Those born in the 21st century, our first time voters have only seen BJD misrule. 

A vote for BJP in Odisha is a vote to…",2019-04-24 14:24:18,,,3041,Positive
126,"RT @narendramodi: Didi will again be angry today, seeing the immense support for BJP in West Bengal. Watch from Bolpur. https://t.co/fUrfsh…",2019-04-24 14:24:17,,,4061,Negative
127,"Vote Out BJP's Agenda Of Hate 
Lock, Stock, And Barrel!
Vote for Jobs, Education, Healthcare For All! 
Vote for Wea… https://t.co/PKSoSFq5Rg",2019-04-24 14:24:16,,,0,Highly Negative
128,RT @Dev_Fadnavis: At #VijaySankalpSabha in Satana for BJP Candidate @DrSubhashMoS for Dhule  #BharatKaGarvModi https://t.co/4qp2Cka9F4,2019-04-24 14:24:15,,,170,Neutral
129,"RT @raghav_chadha: I will be moving the Delhi High Court against wrongful acceptance of nomination papers of BJP's South Delhi Candidate, R…",2019-04-24 14:24:14,,,48,Positive
130,RT @ANI: Returning Officer accepts BJP candidate Gautam Gambhir's nomination for the East Delhi parliamentary constituency. AAP and Congres…,2019-04-24 14:24:10,,,187,Neutral
131,RT @scroll_in: Jammu and Kashmir Congress chief Ghulam Ahmad Mir says only his party can safeguard the special status granted to the state…,2019-04-24 14:24:10,,,1,Positive
132,"RT @BJP4India: The more problem Didi creates, the more people will vote for BJP. 

I'd like to tell the karyakartas of BJP that you're the…",2019-04-24 14:24:09,,,273,Highly Positive
133,RT @Kailashsaran73: If you want to understand message of Gujarat then see the Valsad seat voting seven assembly segments 3 coastal BJP domi…,2019-04-24 14:24:09,,,1,Neutral
134,"RT @thewire_in: In April 2018, BJP MLA Kuldeep Singh Sengar from Unnao was arrested for kidnapping and raping a woman. 

Shortly after, the…",2019-04-24 14:24:05,,,460,Neutral
135,RT @RealHistoryPic: Raj Thackeray invited the family on the stage whose image was used by BJP IT cell to show development of Modi. 😂😂😂😂😂😂😂😂…,2019-04-24 14:24:05,,,3212,Neutral
136,"RT @indscribe: While Digvijaya toured the constituency, met community leaders, even came up with vision document for Bhopal, BJP took a lon…",2019-04-24 14:24:02,,,1,Neutral
137,RT @digvijaya_28: The nation is united against the dishonouring of a well respected Martyr by BJP! The anger is palpable and people are una…,2019-04-24 14:24:01,,,478,Negative
138,Your one vote will decide if our daughters will make our country proud or will have to put up with the tyranny of t… https://t.co/UYB7g7cnnv,2019-04-24 14:24:00,,,24,Highly Positive
139,"RT @ShekharGupta: Why BJP, Shiv Sena are losing sleep over Raj Thackeray though he’s not contesting this election

ThePrint's associate edi…",2019-04-24 14:24:00,,,227,Neutral
140,RT @Dev_Fadnavis: At #VijaySankalpSabha in Satana for BJP Candidate @DrSubhashMoS for Dhule  #BharatKaGarvModi https://t.co/4qp2Cka9F4,2019-04-24 14:23:59,,,170,Neutral
141,"RT @TIP_Pradhanjii: BSP supporters in Bareilly, budaun, Aonla voted for BJP after unable to find Elephant symbol on evm machines 😆😆 . 

Aur…",2019-04-24 14:23:59,,,462,Highly Negative
142,RT @akashbanerjee: .... basically the entire BJP election strategy for 2019. https://t.co/345d9SP5Qz,2019-04-24 14:23:59,,,926,Neutral
143,"RT @raghav_chadha: I will be moving the Delhi High Court against wrongful acceptance of nomination papers of BJP's South Delhi Candidate, R…",2019-04-24 14:23:57,,,48,Positive
144,The findings from a pre-poll survey indicate that the BJP is emerging as the second-most preferred political choice… https://t.co/4znuYWQN5v,2019-04-24 14:23:57,,,0,Neutral
145,"RT @saahilmenghani: THREAD 

@raghav_chadha  will challenge the EC official's decision to 'wrongfully' accept the nomination of BJP candida…",2019-04-24 14:23:57,,,4,Neutral
146,"RT @Nehr_who: BJP candidates Speech:

RS katheria: Will cut fingers raised on us

Satpal Singh: Will chop off arms raised on Modi

Manoj Si…",2019-04-24 14:23:55,,,54,Neutral
147,"RT @__Bhakts_Buztr: Case # 680 
#RIH @nehasiddhwani 

Suspended by @Twitter
Reported by #TeamBB 
Reason : Abusive &amp; Hatemonger
Affiliation…",2019-04-24 14:23:54,,,5,Neutral
148,"RT @raghav_chadha: I will be moving the Delhi High Court against wrongful acceptance of nomination papers of BJP's South Delhi Candidate, R…",2019-04-24 14:23:52,,,48,Positive
149,@News18India @BJP4MP @BJP4India BJP wins Bhopal !,2019-04-24 14:23:52,,,0,Positive
150,"RT @t_d_h_nair: Two doubts:
1. Why do EVMs malfunction where BJP is weaker?
2. Why all the malfunctioning EVMs register vote only for BJP?",2019-04-24 14:23:51,,,3307,Neutral
151,"RT @KanchanGupta: ""You want me to believe that a political alliance with MIM of Asaduddin Owaisi and Muslim League is secular, and BJP is c…",2019-04-24 14:23:51,,,1739,Neutral
152,@MaheishGirri @TajinderBagga @GautamGambhir @narendramodi You are great sir.we proud on you mahesh… https://t.co/8Ryc3Uff9z,2019-04-24 14:23:49,,,0,Highly Positive
153,RT @akashbanerjee: .... basically the entire BJP election strategy for 2019. https://t.co/345d9SP5Qz,2019-04-24 14:23:49,,,926,Neutral
154,"RT @narendramodi: Didi will again be angry today, seeing the immense support for BJP in West Bengal. Watch from Bolpur. https://t.co/fUrfsh…",2019-04-24 14:23:49,,,4062,Negative
155,RT @Vishj05: Akshay Kumar showed Modi ji Photoshopped image by Krishna. Modi ji was surprised that despite such brilliant photoshopping ski…,2019-04-24 14:23:49,,,36,Positive
156,Will BJP Be Able to Retain Guwahati constituency in 2019? https://t.co/VNkSiSudeL via @YouTube,2019-04-24 14:23:48,,,0,Highly Positive
157,RT @sab_subh_hai: Election Commission checking MCC violation complaints against BJP. https://t.co/qdwkxPEPdc,2019-04-24 14:23:48,,,49,Neutral
158,"RT @thewire_in: In April 2018, BJP MLA Kuldeep Singh Sengar from Unnao was arrested for kidnapping and raping a woman. 

Shortly after, the…",2019-04-24 14:23:47,,,460,Neutral
159,"Look friends 
Vote for modi vote for Bjp #IPL2019 https://t.co/7jPyIN9VMR",2019-04-24 14:23:46,,,0,Neutral
160,@narendramodi Sir. This time I was unable to cast my vote. I didn't get the voter slip. My wife voted BJP but i was… https://t.co/Nq26Wyf0i1,2019-04-24 14:23:46,,,0,Highly Negative
161,"RT @AmitDas46875141: #AayegaToModiHi 
Today steet corner zp_15 (hooghly loksava)BJP jinabad barat mata ki joy.
@learnerpritom 
@bjp4singur…",2019-04-24 14:23:46,,,1,Highly Positive
162,"RT @BJP4India: Through PM Kisan yojana, we want to provide financial assistance to the farmers of West Bengal. However, they haven't given…",2019-04-24 14:23:45,,,206,Neutral
163,"RT @IamIconoclast: #ChintamaniSpeaks #Elections2019 @Election_in With this kind of polling over a wave election in 2014, what more needs to…",2019-04-24 14:23:44,,,50,Highly Positive
